topic,pmid,pmcid,doi,title,pdf_status,pdf_path,html_path,detail
tRNA 的生物功能与结构特征,40069351,PMC12263435,10.1038/s41594-025-01516-6,Mechanistic basis for PYROXD1-mediated protection of the human tRNA ligase complex against oxidative inactivation.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\40069351_Mechanistic_basis_for_PYROXD1-mediated_protection_of_the_human_tRNA_ligase_complex_against_oxid.pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\40069351_PMC12263435.html,already_exists
tRNA 的生物功能与结构特征,41407712,PMC12712100,10.1038/s41467-025-66176-y,AAV-delivered engineered suppressor tRNA rescues visual function in mice with an inherited retinal disease.,downloaded,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pdfs\41407712_AAV-delivered_engineered_suppressor_tRNA_rescues_visual_function_in_mice_with_an_inherited_reti.pdf,D:\Project\tRNA research\biological functions and structural characteristics of tRNA\downloaded_resources\pmc_html\41407712_PMC12712100.html,already_exists
tRNA 分析工具与算法,41501459,PMC12851939,10.1038/s41586-025-09852-9,RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity.,downloaded,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pdfs\41501459_RNA-triggered_Cas12a3_cleaves_tRNA_tails_to_execute_bacterial_immunity..pdf,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\41501459_PMC12851939.html,already_exists
tRNA 分析工具与算法,35322228,PMC9446716,10.1038/s41586-022-04533-3,AAV-delivered suppressor tRNA overcomes a nonsense mutation in mice.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\35322228_PMC9446716.html,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41586-022-04533-3 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC9446716/pdf/nihms-1832130.pdf"
tRNA 分析工具与算法,37944512,,10.1016/j.cell.2023.10.015,"Design, construction, and functional characterization of a tRNA neochromosome in yeast.",not_publicly_downloadable,,,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S0092867423011303; pii=S0092867423011303
tRNA 分析工具与算法,37024678,PMC10791586,10.1038/s41587-023-01743-6,Quantitative analysis of tRNA abundance and modifications by nanopore RNA sequencing.,downloaded,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pdfs\37024678_Quantitative_analysis_of_tRNA_abundance_and_modifications_by_nanopore_RNA_sequencing..pdf,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\37024678_PMC10791586.html,already_exists
tRNA 分析工具与算法,37173525,,10.1038/s41588-023-01404-z,Quantifying tRNA abundance by sequencing.,not_publicly_downloadable,,,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41588-023-01404-z"
tRNA 分析工具与算法,33581077,PMC8062790,10.1016/j.molcel.2021.01.028,High-resolution quantitative profiling of tRNA abundance and modification status in eukaryotes by mim-tRNAseq.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\33581077_PMC8062790.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276521000484; pii=S1097276521000484 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC8062790/pdf/
tRNA 分析工具与算法,39096899,PMC11455606,10.1016/j.molcel.2024.07.008,A ligation-independent sequencing method reveals tRNA-derived RNAs with blocked 3' termini.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\39096899_PMC11455606.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276524005847; pii=S1097276524005847 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC11455606/pdf/
tRNA 分析工具与算法,35654044,PMC9444141,10.1016/j.molcel.2022.05.008,A pro-metastatic tRNA fragment drives Nucleolin oligomerization and stabilization of its bound metabolic mRNAs.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\35654044_PMC9444141.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276522004427; pii=S1097276522004427 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC9444141/pdf/
tRNA 分析工具与算法,42062277,,10.1038/s41467-026-72603-5,Deciphering tRNA repertoires and translation coordination during mouse early embryogenesis by ORACLE-tRNAseq.,not_publicly_downloadable,,,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41467-026-72603-5"
tRNA 分析工具与算法,40447571,PMC12125218,10.1038/s41467-025-59435-5,In vivo structure profiling reveals human cytosolic and mitochondrial tRNA structurome and interactome in response to stress.,downloaded,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pdfs\40447571_In_vivo_structure_profiling_reveals_human_cytosolic_and_mitochondrial_tRNA_structurome_and_inte.pdf,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\40447571_PMC12125218.html,already_exists
tRNA 分析工具与算法,39865096,PMC11770116,10.1038/s41467-025-56348-1,Genome-wide profiling of tRNA modifications by Induro-tRNAseq reveals coordinated changes.,downloaded,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pdfs\39865096_Genome-wide_profiling_of_tRNA_modifications_by_Induro-tRNAseq_reveals_coordinated_changes..pdf,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\39865096_PMC11770116.html,already_exists
tRNA 分析工具与算法,37802077,PMC10841463,10.1016/j.molcel.2023.09.016,tRNA renovatio: Rebirth through fragmentation.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\37802077_PMC10841463.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276523007396; pii=S1097276523007396 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC10841463/pdf/nihms-1936499.pdf
tRNA 分析工具与算法,35032425,PMC8897278,10.1016/j.molcel.2021.12.007,tRNA modification dynamics from individual organisms to metaepitranscriptomics of microbiomes.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\35032425_PMC8897278.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276521010698; pii=S1097276521010698 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC8897278/pdf/
tRNA 分析工具与算法,40835813,PMC12368100,10.1038/s41467-025-62545-9,Nanopore sequencing of intact aminoacylated tRNAs.,downloaded,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pdfs\40835813_Nanopore_sequencing_of_intact_aminoacylated_tRNAs..pdf,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\40835813_PMC12368100.html,already_exists
tRNA 分析工具与算法,32796835,PMC7428014,10.1038/s41467-020-17879-x,Quantitative tRNA-sequencing uncovers metazoan tissue-specific tRNA regulation.,downloaded,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pdfs\32796835_Quantitative_tRNA-sequencing_uncovers_metazoan_tissue-specific_tRNA_regulation..pdf,D:\Project\tRNA research\tRNA analysis tools and algorithms\downloaded_resources\pmc_html\32796835_PMC7428014.html,already_exists
tRNA 修饰指纹数据库,40311619,PMC12255531,10.1016/j.cell.2025.04.013,tRNA modifications tune m6A-dependent mRNA decay.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\40311619_PMC12255531.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S0092867425004155; pii=S0092867425004155 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC12255531/pdf/nihms-2074120.pdf
tRNA 修饰指纹数据库,38653238,,10.1016/j.cell.2024.04.002,"Alanyl-tRNA synthetase, AARS1, is a lactate sensor and lactyltransferase that lactylates p53 and contributes to tumorigenesis.",not_publicly_downloadable,,,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S0092867424003970; pii=S0092867424003970
tRNA 修饰指纹数据库,41398161,PMC12706008,10.1038/s41467-025-67387-z,A cholesterol-responsive hepatic tRNA-derived small RNA regulates cholesterol homeostasis and atherosclerosis development.,downloaded,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pdfs\41398161_A_cholesterol-responsive_hepatic_tRNA-derived_small_RNA_regulates_cholesterol_homeostasis_and_a.pdf,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\41398161_PMC12706008.html,already_exists
tRNA 修饰指纹数据库,38181765,,10.1016/j.molcel.2023.11.041,Transfer RNA modifications and cellular thermotolerance.,not_publicly_downloadable,,,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276523010183; pii=S1097276523010183
tRNA 修饰指纹数据库,41344331,PMC12709618,10.1016/j.molcel.2025.11.010,NAT10 promotes cancer metastasis by modulating p300/CBP activity through chromatin-associated tRNA.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\41344331_PMC12709618.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276525009062; pii=S1097276525009062 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC12709618/pdf/
tRNA 修饰指纹数据库,40908366,PMC12618233,10.1038/s41594-025-01653-y,tRNA as an assembly chaperone for a macromolecular transcription-processing complex.,downloaded,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pdfs\40908366_tRNA_as_an_assembly_chaperone_for_a_macromolecular_transcription-processing_complex..pdf,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\40908366_PMC12618233.html,already_exists
tRNA 修饰指纹数据库,39096899,PMC11455606,10.1016/j.molcel.2024.07.008,A ligation-independent sequencing method reveals tRNA-derived RNAs with blocked 3' termini.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\39096899_PMC11455606.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276524005847; pii=S1097276524005847 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC11455606/pdf/
tRNA 修饰指纹数据库,38918637,PMC11479938,10.1038/s41594-024-01341-3,Structural basis of tRNA recognition by the m3C RNA methyltransferase METTL6 in complex with SerRS seryl-tRNA synthetase.,downloaded,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pdfs\38918637_Structural_basis_of_tRNA_recognition_by_the_m3C_RNA_methyltransferase_METTL6_in_complex_with_Se.pdf,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\38918637_PMC11479938.html,already_exists
tRNA 修饰指纹数据库,38538914,PMC11537720,10.1038/s41594-024-01236-3,Structures of the ribosome bound to EF-Tu-isoleucine tRNA elucidate the mechanism of AUG avoidance.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\38538914_PMC11537720.html,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41594-024-01236-3 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC11537720/pdf/"
tRNA 修饰指纹数据库,37802077,PMC10841463,10.1016/j.molcel.2023.09.016,tRNA renovatio: Rebirth through fragmentation.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\37802077_PMC10841463.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276523007396; pii=S1097276523007396 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC10841463/pdf/
tRNA 修饰指纹数据库,41807381,PMC12976133,10.1038/s41467-026-70126-7,Translational regulation by oxidative desulfuration of tRNA modifications.,downloaded,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pdfs\41807381_Translational_regulation_by_oxidative_desulfuration_of_tRNA_modifications..pdf,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\41807381_PMC12976133.html,already_exists
tRNA 修饰指纹数据库,41611679,PMC12957315,10.1038/s41467-026-68813-6,ALKB-1-dependent tRNA methylation is required for efficient paternal mitochondrial elimination.,downloaded,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pdfs\41611679_ALKB-1-dependent_tRNA_methylation_is_required_for_efficient_paternal_mitochondrial_elimination..pdf,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\41611679_PMC12957315.html,already_exists
tRNA 修饰指纹数据库,38996458,PMC11258540,10.1016/j.molcel.2024.06.013,The molecular basis of tRNA selectivity by human pseudouridine synthase 3.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\38996458_PMC11258540.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276524005203; pii=S1097276524005203 | pmc_pdf_endpoint: status=404; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC11258540/pdf/
tRNA 修饰指纹数据库,38977661,PMC11231295,10.1038/s41467-024-49796-8,Perturbation of METTL1-mediated tRNA N7- methylguanosine modification induces senescence and aging.,downloaded,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pdfs\38977661_Perturbation_of_METTL1-mediated_tRNA_N7-_methylguanosine_modification_induces_senescence_and_ag.pdf,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\38977661_PMC11231295.html,already_exists
tRNA 修饰指纹数据库,41714626,PMC13031925,10.1038/s41467-026-69700-w,Coronaviruses reprogram the tRNA epitranscriptome to favor viral protein expression.,downloaded,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pdfs\41714626_Coronaviruses_reprogram_the_tRNA_epitranscriptome_to_favor_viral_protein_expression..pdf,D:\Project\tRNA research\tRNA mod-fingerprint database\downloaded_resources\pmc_html\41714626_PMC13031925.html,already_exists
tRNA 相关湿实验,41501459,PMC12851939,10.1038/s41586-025-09852-9,RNA-triggered Cas12a3 cleaves tRNA tails to execute bacterial immunity.,downloaded,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pdfs\41501459_RNA-triggered_Cas12a3_cleaves_tRNA_tails_to_execute_bacterial_immunity..pdf,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\41501459_PMC12851939.html,already_exists
tRNA 相关湿实验,35322228,PMC9446716,10.1038/s41586-022-04533-3,AAV-delivered suppressor tRNA overcomes a nonsense mutation in mice.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\35322228_PMC9446716.html,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41586-022-04533-3 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC9446716/pdf/"
tRNA 相关湿实验,37944512,,10.1016/j.cell.2023.10.015,"Design, construction, and functional characterization of a tRNA neochromosome in yeast.",not_publicly_downloadable,,,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S0092867423011303; pii=S0092867423011303
tRNA 相关湿实验,37024678,PMC10791586,10.1038/s41587-023-01743-6,Quantitative analysis of tRNA abundance and modifications by nanopore RNA sequencing.,downloaded,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pdfs\37024678_Quantitative_analysis_of_tRNA_abundance_and_modifications_by_nanopore_RNA_sequencing..pdf,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\37024678_PMC10791586.html,already_exists
tRNA 相关湿实验,41555020,,10.1038/s41587-025-02982-5,An engineered UGA suppressor tRNA gene for disease-agnostic AAV delivery.,downloaded,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pdfs\41555020_An_engineered_UGA_suppressor_tRNA_gene_for_disease-agnostic_AAV_delivery..pdf,,already_exists
tRNA 相关湿实验,37173525,,10.1038/s41588-023-01404-z,Quantifying tRNA abundance by sequencing.,not_publicly_downloadable,,,"nature_pdf: status=200; type=text/html; charset=""utf-8""; url=https://www.nature.com/articles/s41588-023-01404-z"
tRNA 相关湿实验,41807381,PMC12976133,10.1038/s41467-026-70126-7,Translational regulation by oxidative desulfuration of tRNA modifications.,downloaded,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pdfs\41807381_Translational_regulation_by_oxidative_desulfuration_of_tRNA_modifications..pdf,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\41807381_PMC12976133.html,already_exists
tRNA 相关湿实验,34174184,,10.1016/j.molcel.2021.06.005,RelA-SpoT Homolog toxins pyrophosphorylate the CCA end of tRNA to inhibit protein synthesis.,not_publicly_downloadable,,,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276521004524; pii=S1097276521004524
tRNA 相关湿实验,39096899,PMC11455606,10.1016/j.molcel.2024.07.008,A ligation-independent sequencing method reveals tRNA-derived RNAs with blocked 3' termini.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\39096899_PMC11455606.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276524005847; pii=S1097276524005847 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC11455606/pdf/
tRNA 相关湿实验,38977676,PMC11231335,10.1038/s41467-024-50110-9,tRNA m1A modification regulate HSC maintenance and self-renewal via mTORC1 signaling.,downloaded,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pdfs\38977676_tRNA_m1A_modification_regulate_HSC_maintenance_and_self-renewal_via_mTORC1_signaling..pdf,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\38977676_PMC11231335.html,already_exists
tRNA 相关湿实验,39892392,PMC11925124,10.1016/j.molcel.2025.01.003,A methyltransferase-independent role for METTL1 in tRNA aminoacylation and oncogenic transformation.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\39892392_PMC11925124.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276525000036; pii=S1097276525000036 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC11925124/pdf/
tRNA 相关湿实验,40835813,PMC12368100,10.1038/s41467-025-62545-9,Nanopore sequencing of intact aminoacylated tRNAs.,downloaded,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pdfs\40835813_Nanopore_sequencing_of_intact_aminoacylated_tRNAs..pdf,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\40835813_PMC12368100.html,already_exists
tRNA 相关湿实验,35032425,PMC8897278,10.1016/j.molcel.2021.12.007,tRNA modification dynamics from individual organisms to metaepitranscriptomics of microbiomes.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\35032425_PMC8897278.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276521010698; pii=S1097276521010698 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC8897278/pdf/nihms-1764573.pdf
tRNA 相关湿实验,33581077,PMC8062790,10.1016/j.molcel.2021.01.028,High-resolution quantitative profiling of tRNA abundance and modification status in eukaryotes by mim-tRNAseq.,not_publicly_downloadable,,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\33581077_PMC8062790.html,doi_landing: not PDF; landing=https://linkinghub.elsevier.com/retrieve/pii/S1097276521000484; pii=S1097276521000484 | pmc_pdf_endpoint: status=200; type=text/html; charset=utf-8; url=https://pmc.ncbi.nlm.nih.gov/articles/PMC8062790/pdf/
tRNA 相关湿实验,40447571,PMC12125218,10.1038/s41467-025-59435-5,In vivo structure profiling reveals human cytosolic and mitochondrial tRNA structurome and interactome in response to stress.,downloaded,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pdfs\40447571_In_vivo_structure_profiling_reveals_human_cytosolic_and_mitochondrial_tRNA_structurome_and_inte.pdf,D:\Project\tRNA research\tRNA-related wet-lab experiments\downloaded_resources\pmc_html\40447571_PMC12125218.html,already_exists
